Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
721,Mallard,MALL,Anas platyrhynchos,"Goleta, Mesa x Los Carneros Rd, NE",4 Apr 2005,Dave Compton,Fledgling under Parental Care,,,"Adult female with 6 chicks, probably 1-2 days old",California Department of Fish and Game wetland NE of Los Carneros Rd x Mesa Rd ,34.4243852,-119.8577135,150,4,,Compton field notes,-13342499.634466073,4085929.938362923
722,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, Area L/M",6 Apr 2005,Dave Compton,Fledgling under Parental Care,,,"Adult female with 4 chicks several days to 1 wk old. Probably same as on 13 April 2005, Compton saw Adult followed by 3 chicks, more than one week since hatching.",,34.4218198,-119.8506099,0,1,,"Compton field notes, airport project for URS",-13341708.865331272,4085583.7339777835
724,Song Sparrow,SOSP,Melospiza melodia,"Goleta Slough, nr Area L/M",6 Apr 2005,Dave Compton,Fledgling Begging,,,"Fledged juvenile, flying across open spaces of up to 20 ft, begging constantly, with adult occasionally flying to and possibly feeding the juvenile.",Begging was first heard on 30 March; a juvenile was still present on 13 April.,34.4231351,-119.8514161,0,1,,"Compton field notes, airport project for URS",-13341798.61110475,4085761.2342597744
725,Canada Goose,CANG,Branta canadensis,"Goleta Slough, Area A",7 Apr 2005,Dave Compton,Adult at Nest (clarify),Salicornia,0,"Adult sitting low in Salicornia, apparently incubating",Not the same location as on 25 March; two other conspicuous adults nearby may have mates of incubating birds,34.4170767,-119.8367326,30,0,,Compton field notes,-13340164.05136169,4084943.673849065
726,Anna's Hummingbird,ANHU,Calypte anna,"Gaviota Coast, Refugio Rd 1st and 2nd stream Xings",10 Apr 2005,Dave Compton,Adult at Nest (clarify),Coast Live Oak,3,Adult female incubating,,34.46956,-120.068964,30,18,,Compton field notes,-13366015.932555893,4092028.083884472
727,Barn Swallow,BARS,Hirundo rustica,Santa Barbara Harbor,10 Apr 2005,Jim Greaves,Carrying Nesting Material,,,"Adults gathering mud and carrying it off to build nests at ""the work pier""",,34.40726,-119.68996,500,2,,,-13323825.400267283,4083619.0694045215
728,House Finch,HOFI,Haemorhous mexicanus,"Gaviota Coast, Refugio Rd 1st and 2nd stream Xings",10 Apr 2005,Dave Compton,Nest Building,Western Sycamore,10,Pair making building nest (making repeated nest material carries) hidden in clumps of leaves,,34.4696012,-120.068964,30,18,,Compton field notes,-13366015.932555893,4092033.6469776253
730,American Crow,AMCR,Corvus brachyrhynchos,"Goleta, S. Fairview nr Olney",11 Apr 2005,Johanna LaClaire,Nest Building,,,Adult building nest,,34.4291945,-119.830789,15,4,,"Compton field notes, Verhelle bridge project for URS",-13339502.412836207,4086578.988877385
731,Black Phoebe,BLPH,Sayornis nigricans,"Goleta, Verhelle Rd, nr S. Fairview",11 Apr 2005,Johanna LaClaire,Adult at Nest (clarify),,,"Adult incubating, with second adult nearby",,34.43304,-119.83079,15,5,,"Compton field notes, Verhelle bridge project for URS",-13339502.524155699,4087097.994340145
732,Phainopepla,PHAI,Phainopepla nitens,"Gaviota Coast, Farren Rd",11 Apr 2005,Nancy States,Carrying Nesting Material,,,male carrying nesting material,"With Matelson, H",34.46047,-119.92352,250,145,,,-13349825.180536957,4090800.759833383
733,Dark-eyed Junco,DEJU,Junco hyemalis,Santa Barbara Museum of Natural History,12 Apr 2005,Dave Compton,Feeding Fledgling,,,"Adult feeding fledgling (tail fully or nearly fully grown, able to make flights of 30+ ft); begging sounds of two other young nearby",,34.4405466,-119.7150658,70,95,,Compton field notes,-13326620.165139241,4088111.1866496033
735,American Coot,AMCO,Fulica americana,"Goleta Slough, Area E/F",13 Apr 2005,Dave Compton,Nest Building,Salicornia,0,Adult building nest from dead Scirpus or possibly Typha in an area of flooded Salicornia,Nest site was very exposed,34.4253444,-119.8490653,30,1,,"Compton field notes, airport project for URS",-13341536.921245795,4086059.386498207
736,American Crow,AMCR,Corvus brachyrhynchos,"Goleta Slough, Area K",13 Apr 2005,Dave Compton,Carrying Nesting Material,,,Nest material carry to an area of oak trees where another adult was seen perched under the canopy,,34.42184,-119.85201,50,4,,"Compton field notes, airport project for URS",-13341864.723750332,4085586.4599550697
737,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, Area E/F",13 Apr 2005,Dave Compton,Feeding Fledgling,,,"Adult female followed by 11 small chicks, one week or less since hatching",,34.4254575,-119.8496239,0,1,,"Compton field notes, airport project for URS",-13341599.10431335,4086074.6499239723
740,Song Sparrow,SOSP,Melospiza melodia,"Goleta Slough, Area G",13 Apr 2005,Dave Compton,Fledgling Begging,,,"One fledged, begging juvenile seen and two other birds heard giving begging call. Fledged bird flew easily for 20+ ft","These birds were in the same area on 6 April, and were moving about within a Baccharis shrub.",34.4246619,-119.8512721,10,2,,"Compton field notes, airport project for URS",-13341782.581098078,4085967.280056862
741,Song Sparrow,SOSP,Melospiza melodia,"Goleta, UCSB, Manzanita Village",14 Apr 2005,Florence Sanchez,Fledgling Begging,,,"Fledgling begging, following adult",,34.4094145,-119.8510697,200,15,,,-13341760.050033137,4083909.7709194985
742,Great Egret,GREG,Ardea alba,"Goleta, SoCal Gas Plant, nr Goleta Slough mouth",21 Apr 2005,Kyle Braunger,Nest Building,,,Pair building nest,Site used by this species in the previous three years.,34.41844,-119.82847,50,3,,,-13339244.26293706,4085127.6413679332
743,Canada Goose,CANG,Branta canadensis,Goleta Sanitary District Plant,22 Apr 2005,Ron Hirst,Fledgling under Parental Care,,,Adult with 5 goslings,,34.4231,-119.8316059,200,5,,,-13339593.349728236,4085756.4974639122
744,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Goleta, San Jose Ck",23 Apr 2005,Dave Compton,Fledgling Begging,,,"begging juvenile with adult; juvenile very gray overall, but flies easily and tail is fully grown in",SJ Creek x Cathedral Oaks,34.4569304,-119.8101454,50,32,,Compton field notes,-13337204.377796069,4090322.882207644
746,American Coot,AMCO,Fulica americana,"Goleta, COPR, Dune Pond",24 Apr 2005,Jim Greaves,Fledgling out of Nest--Brancher,,,"4 ""fresh"" chicks",,34.4137304,-119.8815188,70,4,,,-13345149.628340254,4084492.1274733036
747,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Goleta, Atascadero Ck mitigation area",24 Apr 2005,Dave Compton,Fledgling Begging,,,2 begging juveniles heard within 100m of one another, nr Patterson,34.42405,-119.80684,100,9,,Compton field notes,-13336836.4223512,4085884.7020419925
748,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Goleta, Atascadero Ck",24 Apr 2005,Dave Compton,Fledgling Begging,,,"Begging juvenile perched on branch (not seen flying, but not in a nest) being fed by an adult. The juvenile was yellowish from throat to belly, but its tail was not completely grown in. A second begging juvenile was heard nearby.",near Walnut Lane,34.4257232,-119.8010933,50,9,,Compton field notes,-13336196.70263346,4086110.5075845765
749,Black Phoebe,BLPH,Sayornis nigricans,"Santa Barbara, Rocky Nook Park",26 Apr 2005,Dave Compton,Feeding Fledgling,,,"Very mobile fledgling following adult, begging, and being fed.",,34.4433228,-119.7110209,50,117,,Compton field notes,-13326169.88893093,4088485.9232244818
750,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Barbara, Rocky Nook Park",26 Apr 2005,Dave Compton,Fledgling Begging,,,"Begging fledgling with tail about half grown in, probably 20-22 days since hatching, following adult.",,34.4425212,-119.7118001,50,113,,Compton field notes,-13326256.629078155,4088377.7205055724
751,Black Phoebe,BLPH,Sayornis nigricans,"Goleta, San Jose Ck",27 Apr 2005,Dave Compton,Feeding Fledgling,,,Adult feeding a mobile juvenile a grasshopper.,nr Berkeley Rd,34.4471046,-119.8152458,50,22,,Compton field notes,-13337772.15172691,4088996.417570734
752,Canada Goose,CANG,Branta canadensis,"Goleta, Tecolotito Ck S of Hollister",27 Apr 2005,Johanna LaClaire,Fledgling under Parental Care,,,Pair with 5 chicks up to 1 week old,With David Kisner,34.4294848,-119.8562771,50,3,,"Compton field notes, Verhelle bridge project for URS",-13342339.735149497,4086618.168199067
753,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, nr Area L/M",27 Apr 2005,Dave Compton,Egg in Nest,Salicornia,0,"Adult flushed off nest with 10 eggs. On 11 May 2005, Compton saw ""Nest abandoned, with 4 eggs still intact and at least 2 egg shells showing signs of hatching"".","In Salicornia, 2m from a tidal channel. On 4 May 2005, D. Compton again fluched adult off nest with 10 eggs.",34.4223332,-119.8490827,50,1,,"Compton field notes, airport project for URS",-13341538.858204931,4085653.017189035
754,California Towhee,CALT,Melozone crissalis,"Santa Barbara, Rocky Nook Park",29 Apr 2005,Dave Compton,Carrying Food,,,"Adult carrying large insect over 30m+ distance to area near creek, then flying out of area about 1 minute later. Probably has nest or young fledglings.",,34.4421505,-119.7110374,75,113,,Compton field notes,-13326171.725702528,4088327.6824984825
755,California Towhee,CALT,Melozone crissalis,Santa Barbara Museum of Natural History,29 Apr 2005,Dave Compton,Family Group in Close Association,,,"Family group, with at least one bird identifiable as in juvenile plumage and one bird following and begging from a presumed adult.",,34.440635,-119.7157323,100,92,,Compton field notes,-13326694.359579852,4088123.118852027
756,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Barbara, Rocky Nook Park",29 Apr 2005,Dave Compton,Fledgling Begging,,,"Two begging juvs, heavily streaked on underparts, with tails about 60% grown in, following 2+ adults. One feeding event witnessed.",,34.442613,-119.7117269,100,114,,Compton field notes,-13326248.48049143,4088390.111931971
758,Orange-crowned Warbler,OCWA,Oreothlypis celata,Santa Barbara Museum of Natural History,29 Apr 2005,Dave Compton,Feeding Fledgling,,,"Adult feeding begging juvenile (tail not fully grown in, but fairly mobile and yellow) following the adult.",3+ other begging juvs heard within 100m,34.440631,-119.7157323,100,92,,Compton field notes,-13326694.359579852,4088122.578933094
759,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Valley, Quiota Ck",30 Apr 2005,Dave Compton,Fledgling Begging,,,Begging juvenile following adult; juvenile with nearly full-length or full length tail,,34.5580009,-120.0836345,300,203,,Compton field notes,-13367649.045145577,4103976.285463799
760,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Santa Ynez Mtns, West Camino Cielo",30 Apr 2005,Dave Compton,Fledgling Begging,,,"Mobile begging juvenile (wing bar, short tail) following adult",1 mi. W of San Marcos Pass,34.5019191,-119.825843,100,670,,Compton field notes,-13338951.826634744,4096398.2673675152
761,House Finch,HOFI,Haemorhous mexicanus,"Santa Ynez Mtns, Windermere",1 May 2005,Mark Holmgren,Fledgling out of Nest--Brancher,,,fledgling out, property near 5797 West Camino Cielo,34.50065,-119.82535,50,680,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338896.946125785,4096226.840048924
762,Rock Wren,ROWR,Salpinctes obsoletus,"Santa Ynez Mtns, Gaviota tunnel",1 May 2005,Larry Ballard,Fledgling Begging,,,"family group of eight birds, including begging young",,34.48904,-120.22687,150,71,,,-13383593.9480691,4094658.707155474
763,Allen's Hummingbird,ALHU,Selasphorus sasin,"Carpinteria, Rincon Ck x Bates Rd",3 May 2005,Jim Greaves,Nestling in Nest,blackberry,,"two new nestlings. On 16 May 2005, 2 now 12-day-old nestlings.",,34.3790882,-119.4752945,30,19,,,-13299928.946116399,4079818.604713585
764,American Coot,AMCO,Fulica americana,"Goleta Slough, Area L/M",4 May 2005,Dave Compton,Nest Building,Salicornia,0,"Adult building nest in flooded area of Salicornia. On 19 May 2005, Compton saw adult on nest [may be same].",,34.4231355,-119.8510136,30,1,,"Compton field notes, airport project for URS",-13341753.805009706,4085761.2882403648
765,Anna's Hummingbird,ANHU,Calypte anna,"Goleta, Atascadero Ck mitigation area",4 May 2005,Dave Compton,Nest Building,willow,2,female constructing nearly half-built nest,,34.4242234,-119.8067435,40,8,,Compton field notes,-13336825.680020336,4085908.102908516
766,Eared Grebe,EAGR,Podiceps nigricollis,"Goleta Slough, Area L/M",4 May 2005,Wes Fritz,Adult at Nest (clarify),Salicornia,0,"Adult either incubating or nest building. On 6 May, Fritz saw Adult incubating on nest. On 11 May, Compton saw ""Adult on nest with 2+ eggs, which were a pale yellow-brown"". On 11 May 2005, Compton saw adult on nest.  On 27 May 2005 Compton saw ""Two adults with 1+ newborn chicks; 2 chicks seen subsequently."".",Only the fourth breeding record for Santa Barbara County. The egg color would seem to suggest the eggs are not freshly laid (see Cullen et al. 1999),34.4235547,-119.8488849,50,1,,,-13341516.839209653,4085817.8600417795
767,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, Area L/M",4 May 2005,Dave Compton,Feeding Fledgling,,,"Adult female followed by 5 chick, more than 1/3 grown",Possibly same brood as seen on 13 April 2005 in E/F,34.42321,-119.8510067,0,1,,"Compton field notes, airport project for URS",-13341753.036905218,4085771.3421299574
768,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, Area L/M",4 May 2005,Dave Compton,Feeding Fledgling,,,"Adult female followed by 5 chicks, half grown",Possibly same brood as seen on 13 April 2005 in E/F and 4 May in L/M,34.4232529,-119.8510067,0,1,,"Compton field notes, airport project for URS",-13341753.036905218,4085777.1315550087
769,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, Area L/M",4 May 2005,Dave Compton,Feeding Fledgling,,,"Adult female followed by 3 chicks, about 1/2 grown",Possibly same brood as seen on 6 April and 13 April 2005,34.4226786,-119.8485723,0,1,,"Compton field notes, airport project for URS",-13341482.040736832,4085699.6290785354
770,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, nr Area L/M",4 May 2005,Dave Compton,Adult at Nest (clarify),,,Female flushed off probable nest,Probable nest well hidden under Coyote brush,34.42244,-119.8494904,50,0,,"Compton field notes, airport project for URS",-13341584.243161328,4085667.429877788
771,Mallard,MALL,Anas platyrhynchos,"Goleta Slough, nr Area L/M",4 May 2005,Dave Compton,Egg in Nest,,,Female flushed off nest with 8 eggs,See previous entry for 4 May 2005,34.4224859,-119.8494904,50,0,,"Compton field notes, airport project for URS",-13341584.243161328,4085673.624100801
774,Song Sparrow,SOSP,Melospiza melodia,"Goleta Slough, Area L/M",4 May 2005,Dave Compton,Juvenile Independent,,,"Lone, independent juvenile, feeding self",,34.422256,-119.8485253,40,1,,"Compton field notes, airport project for URS",-13341476.808720766,4085642.599039714
775,Song Sparrow,SOSP,Melospiza melodia,"Goleta Slough, nr Area E/F",4 May 2005,Dave Compton,Juvenile Independent,,,"One juvenile feeding self; a second one nearby, approaching adult and being chased away.",,34.4260294,-119.8482944,30,1,,"Compton field notes, airport project for URS",-13341451.105050342,4086151.831081878
776,House Wren,HOWR,Troglodytes aedon,"Santa Barbara, Rocky Nook Park",5 May 2005,Dave Compton,Delivering Food to Nest or Cavity,Western Sycamore,7,"Adult making food delivery into cavity, then exiting with unknown substance; also seen exiting a second time several minutes later.",,34.44091,-119.7122364,30,102,,Compton field notes,-13326305.197771987,4088160.2383407466
777,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Santa Barbara, Rocky Nook Park",5 May 2005,Dave Compton,Fledgling Begging,,,"Begging juvenile (grayish underneath, tail about 3/4 of adult length) following adult around",,34.4408709,-119.7122364,30,102,,Compton field notes,-13326305.197771987,4088154.9606168987
780,Snowy Plover,SNPL,Charadrius nivosus,Santa Barbara Harbor,7 May 2005,Lark Chadwick,Egg in Nest,,,Adult at nest with 2 eggs,"Sandspit at end of breakwater. No recent breeding at this location. With Jim Greaves On 25 May 2005, Adult female still incubating.",34.40715,-119.68836,50,0,,Snowy Plover nest at SB Sandspit 7 May 05.doc,-13323647.289082015,4083604.227569368
